Symbol,Name,Latest,Change,%Change,High,Low,Volume,"Imp Vol","1M IV","3M IV",IV/HV,"5D/1M IV%","IV Rank","1M IV Rank ","IV Pctl","1M IV Pctl","Options Vol","5D Total Vol","Total OI","Call Open Int","Put Open Int","P/C OI","Exp Move"
^BTCUSD,"Bitcoin - USD",59572.08,-31.9,-0.05%,60568.18,59528.73,13205,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BJGU26,"Bloomberg IG Credit Futures",3611.5,0.5,+0.01%,3614.5,3606,352,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BJGZ26,"Bloomberg IG Credit Futures",3653,0.5,+0.01%,3653,3653,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
S!U26,"CFFEX CSI 300 Index",4751.4,-145.8,-2.98%,4884,4717,105290,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ASHR,"Xt Harvest CSI 300 China A-Shares ETF",35.87,-0.82,-2.23%,35.995,35.675,5060400,26.57%,20.30%,20.42%,1.0870008183306,116.06%,17.92%,100.00%,96%,95%,19948,32125,546843,271525,275318,1.0139692477672,0.8075
$HSI,"Hang Seng Index",22671.86,-405.05,-1.76%,23076.91,22518,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
$VHSI,"Hang Seng Volatility Index",25.82,1.27,+5.17%,26.88,23.97,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
KHYB,"KS Ccbs China Corp High Yield Bond USD ETF",24.1899,0.0019000000000027,+0.01%,24.2,24.1899,800,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CBON,"Vaneck Chinaamc China Bond ETF",23.84,0.024999999999999,+0.10%,23.85,23.84,300,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
YCN26,"CZCE Thermal Coal100",801.4,0,0.00%,801.4,801.4,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
LUM26,"ICE Rotterdam Coal",125.8,-0.3,-0.24%,125.8,125.8,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
LVM26,"ICE Richard Bay Coal",113.05,-0.3,-0.26%,113.05,113.05,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
YQN26,"DCE Coking Coal",1215,16,+1.33%,1218,1207.5,251,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
U7M26,"SGX Aus Coking Coal",243.25,0,0.00%,243.25,243.25,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
"Downloaded from Barchart.com as of 06-28-2026 12:21pm CDT"
