Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,"Last Trade",Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,"Last Trade"
"12,955s",57.26%,0.9242,0.0000,-21.5175,24.8904,+9.48%,Call,06/26/26,"47,500",570s,64.88%,-0.0953,0.0000,-28.8757,30.6049,+17.11%,Put,06/26/26
"12,495s",56.74%,0.9172,0.0000,-22.9240,26.7224,+8.96%,Call,06/26/26,"48,000",540s,61.75%,-0.0953,0.0000,-27.4153,30.5962,+13.98%,Put,06/26/26
"12,035s",56.10%,0.9099,0.0000,-24.2300,28.5284,+8.32%,Call,06/26/26,"48,500",620s,62.11%,-0.1062,0.0000,-29.8581,33.1106,+14.33%,Put,06/26/26
"11,575s",55.35%,0.9025,0.0000,-25.4395,30.3169,+7.57%,Call,06/26/26,"49,000",620s,59.93%,-0.1096,0.0000,-29.4298,33.8708,+12.16%,Put,06/26/26
"11,125s",54.81%,0.8938,0.0000,-26.9257,32.3504,+7.04%,Call,06/26/26,"49,500",665s,59.04%,-0.1175,0.0000,-30.4674,35.6069,+11.27%,Put,06/26/26
"10,675s",54.15%,0.8849,0.0000,-28.2898,34.3484,+6.38%,Call,06/26/26,"50,000",665,56.85%,-0.1215,0.0000,-29.9803,36.4471,+9.08%,Put,"17:06 CT"
"10,230s",53.52%,0.8752,0.0000,-29.7045,36.4300,+5.75%,Call,06/26/26,"50,500",770s,57.41%,-0.1356,0.0000,-32.6941,39.3299,+9.63%,Put,06/26/26
"9,790s",52.91%,0.8648,0.0000,-31.1501,38.5787,+5.13%,Call,06/26/26,"51,000",825s,56.51%,-0.1452,0.0000,-33.7040,41.2076,+8.74%,Put,06/26/26
"9,355s",52.30%,0.8536,0.0000,-32.6081,40.7792,+4.52%,Call,06/26/26,"51,500",890s,55.76%,-0.1560,0.0000,-34.8672,43.2224,+7.99%,Put,06/26/26
"8,925s",51.68%,0.8417,0.0000,-34.0605,43.0163,+3.91%,Call,06/26/26,"52,000",920s,54.13%,-0.1642,0.0000,-34.9596,44.7015,+6.36%,Put,06/26/26
"8,500s",51.06%,0.8291,0.0000,-35.4902,45.2759,+3.28%,Call,06/26/26,"52,500","1,030s",54.17%,-0.1793,0.0000,-37.0125,47.2811,+6.40%,Put,06/26/26
"8,085s",50.52%,0.8153,0.0000,-37.0124,47.6121,+2.75%,Call,06/26/26,"53,000","1,115s",53.53%,-0.1927,0.0000,-38.2137,49.4264,+5.75%,Put,06/26/26
"7,675s",49.95%,0.8007,0.0000,-38.4666,49.9281,+2.18%,Call,06/26/26,"53,500","1,200s",52.76%,-0.2063,0.0000,-39.2289,51.5057,+4.99%,Put,06/26/26
"7,270s",49.35%,0.7854,0.0000,-39.8383,52.2117,+1.58%,Call,06/26/26,"54,000","1,350s",53.10%,-0.2246,0.0000,-41.4737,54.0935,+5.32%,Put,06/26/26
"6,880s",48.89%,0.7687,0.0000,-41.3394,54.5420,+1.12%,Call,06/26/26,"54,500","1,400s",51.45%,-0.2368,0.0000,-41.3314,55.7238,+3.68%,Put,06/26/26
"6,490s",48.29%,0.7517,0.0000,-42.6008,56.7499,+0.52%,Call,06/26/26,"55,000","1,515s",50.87%,-0.2536,0.0000,-42.3614,57.8035,+3.10%,Put,06/26/26
"6,305s",46.62%,0.7520,0.0000,-41.1988,56.8238,-1.12%,Call,06/26/26,"55,250","1,575s",50.57%,-0.2622,0.0000,-42.8350,58.8162,+2.80%,Put,06/26/26
"6,115s",47.81%,0.7333,0.0000,-43.9328,58.9409,+0.04%,Call,06/26/26,"55,500","1,635s",50.24%,-0.2710,0.0000,-43.2466,59.7989,+2.47%,Put,06/26/26
"5,930s",47.56%,0.7238,0.0000,-44.5498,59.9967,-0.22%,Call,06/26/26,"55,750","1,860s",52.58%,-0.2873,0.0000,-46.6485,61.5140,+4.80%,Put,06/26/26
"5,750s",47.35%,0.7140,0.0000,-45.1965,61.0408,-0.43%,Call,06/26/26,"56,000","1,950s",52.62%,-0.2971,0.0000,-47.4160,62.4799,+4.85%,Put,06/26/26
"5,570s",47.10%,0.7040,0.0000,-45.7714,62.0423,-0.67%,Call,06/26/26,"56,250","1,840s",49.45%,-0.2991,0.0000,-44.5564,62.6723,+1.68%,Put,06/26/26
"5,395s",46.89%,0.6938,0.0000,-46.3679,63.0226,-0.88%,Call,06/26/26,"56,500","1,910s",49.15%,-0.3088,0.0000,-44.8854,63.5632,+1.37%,Put,06/26/26
"5,220s",46.65%,0.6834,0.0000,-46.8894,63.9568,-1.13%,Call,06/26/26,"56,750","1,985s",48.88%,-0.3187,0.0000,-45.2309,64.4321,+1.11%,Put,06/26/26
"5,050s",46.44%,0.6727,0.0000,-47.4253,64.8611,-1.33%,Call,06/26/26,"57,000","2,200s",50.72%,-0.3332,0.0000,-47.8622,65.6082,+2.95%,Put,06/26/26
"5,155s",50.36%,0.6535,0.0000,-52.6305,66.3439,+2.58%,Call,06/26/26,"57,250","2,145s",48.40%,-0.3393,0.0000,-45.8689,66.0690,+0.62%,Put,06/26/26
"4,060s",36.00%,0.6781,0.0001,-36.7708,64.4140,-11.77%,Call,06/26/26,"57,500","2,230s",48.17%,-0.3499,0.0000,-46.1555,66.8295,+0.40%,Put,06/26/26
"4,550s",45.73%,0.6398,0.0000,-48.7329,67.2969,-2.04%,Call,06/26/26,"57,750","2,315s",47.91%,-0.3606,0.0000,-46.3632,67.5419,+0.14%,Put,06/26/26
"4,390s",45.52%,0.6284,0.0000,-49.1192,68.0155,-2.25%,Call,06/26/26,"58,000","3,000s",56.37%,-0.3814,0.0000,-55.9493,68.7639,+8.60%,Put,06/26/26
"4,235s",45.34%,0.6167,0.0000,-49.5031,68.6836,-2.44%,Call,06/26/26,"58,250","2,495s",47.42%,-0.3826,0.0000,-46.6978,68.8310,-0.35%,Put,06/26/26
"4,080s",45.11%,0.6050,0.0000,-49.8009,69.2924,-2.66%,Call,06/26/26,"58,500","2,590s",47.19%,-0.3939,0.0000,-46.8201,69.4017,-0.58%,Put,06/26/26
"3,930s",44.92%,0.5931,0.0000,-50.0918,69.8446,-2.86%,Call,06/26/26,"58,750","2,690s",47.00%,-0.4053,0.0000,-46.9352,69.9201,-0.78%,Put,06/26/26
"3,780s",44.68%,0.5810,0.0000,-50.2944,70.3345,-3.09%,Call,06/26/26,"59,000","2,790s",46.76%,-0.4168,0.0000,-46.9643,70.3814,-1.01%,Put,06/26/26
"3,635s",44.48%,0.5688,0.0000,-50.4861,70.7624,-3.29%,Call,06/26/26,"59,250","2,895s",46.56%,-0.4285,0.0000,-46.9829,70.7857,-1.22%,Put,06/26/26
"3,495s",44.30%,0.5565,0.0000,-50.6642,71.1251,-3.47%,Call,06/26/26,"59,500","3,000s",46.31%,-0.4403,0.0000,-46.9135,71.1299,-1.46%,Put,06/26/26
"3,355s",44.08%,0.5441,0.0000,-50.7505,71.4201,-3.69%,Call,06/26/26,"59,750","3,110s",46.10%,-0.4522,0.0000,-46.8308,71.4128,-1.68%,Put,06/26/26
"3,500",47.80%,0.5333,0.0000,-55.0774,71.6185,+0.03%,Call,"10:10 CT","60,000","3,795s",53.87%,-0.4604,0.0000,-55.2986,71.5706,+6.10%,Put,06/26/26
"3,090s",43.73%,0.5189,0.0001,-50.8732,71.8003,-4.05%,Call,06/26/26,"60,250","3,340s",45.68%,-0.4763,0.0000,-46.5451,71.7867,-2.09%,Put,06/26/26
"2,960s",43.52%,0.5062,0.0001,-50.8314,71.8828,-4.25%,Call,06/26/26,"60,500","3,490s",45.90%,-0.4881,0.0000,-46.7932,71.8730,-1.87%,Put,06/26/26
"2,830s",43.27%,0.4933,0.0001,-50.6947,71.8912,-4.50%,Call,06/26/26,"60,750","3,585s",45.32%,-0.5007,0.0000,-46.1197,71.8956,-2.46%,Put,06/26/26
"2,710s",43.12%,0.4805,0.0001,-50.6143,71.8251,-4.66%,Call,06/26/26,"61,000","3,710s",45.11%,-0.5130,0.0000,-45.8061,71.8480,-2.67%,Put,06/26/26
"2,590s",42.92%,0.4676,0.0001,-50.4379,71.6830,-4.86%,Call,06/26/26,"61,250","3,840s",44.92%,-0.5253,0.0000,-45.4757,71.7315,-2.85%,Put,06/26/26
"2,475s",42.75%,0.4548,0.0001,-50.2418,71.4654,-5.03%,Call,06/26/26,"61,500","3,975s",44.77%,-0.5375,0.0000,-45.1293,71.5467,-3.01%,Put,06/26/26
"2,360s",42.53%,0.4418,0.0001,-49.9488,71.1690,-5.24%,Call,06/26/26,"61,750","4,110s",44.57%,-0.5499,0.0000,-44.6896,71.2908,-3.20%,Put,06/26/26
"2,250s",42.34%,0.4288,0.0001,-49.6366,70.7968,-5.44%,Call,06/26/26,"62,000","4,250s",44.40%,-0.5622,0.0000,-44.2349,70.9667,-3.37%,Put,06/26/26
"2,145s",42.17%,0.4160,0.0001,-49.3064,70.3506,-5.60%,Call,06/26/26,"62,250","4,395s",44.26%,-0.5744,0.0000,-43.7672,70.5763,-3.51%,Put,06/26/26
"2,045s",42.04%,0.4033,0.0001,-48.9605,69.8334,-5.74%,Call,06/26/26,"62,500","4,540s",44.08%,-0.5867,0.0000,-43.2068,70.1133,-3.69%,Put,06/26/26
"1,945s",41.85%,0.3905,0.0001,-48.5188,69.2356,-5.92%,Call,06/26/26,"62,750","5,605s",56.93%,-0.5627,0.0000,-57.5876,70.9528,+9.16%,Put,06/26/26
"1,850s",41.70%,0.3778,0.0001,-48.0639,68.5693,-6.08%,Call,06/26/26,"63,000","4,845s",43.80%,-0.6108,0.0000,-42.0575,68.9980,-3.97%,Put,06/26/26
"1,760s",41.57%,0.3654,0.0000,-47.5991,67.8392,-6.20%,Call,06/26/26,"63,250","5,005s",43.71%,-0.6226,0.0000,-41.4755,68.3536,-4.06%,Put,06/26/26
"1,670s",41.40%,0.3528,0.0000,-47.0406,67.0283,-6.37%,Call,06/26/26,"63,500","5,165s",43.57%,-0.6345,0.0000,-40.8048,67.6389,-4.20%,Put,06/26/26
"1,585s",41.26%,0.3405,0.0000,-46.4763,66.1585,-6.52%,Call,06/26/26,"63,750","5,330s",43.47%,-0.6461,0.0000,-40.1353,66.8731,-4.30%,Put,06/26/26
"1,505s",41.15%,0.3285,0.0000,-45.9112,65.2363,-6.63%,Call,06/26/26,"64,000","5,495s",43.33%,-0.6577,0.0000,-39.3782,66.0364,-4.45%,Put,06/26/26
"1,430s",41.07%,0.3168,0.0000,-45.3503,64.2697,-6.71%,Call,06/26/26,"64,250","5,670s",43.29%,-0.6688,0.0000,-38.7241,65.1841,-4.48%,Put,06/26/26
"1,355s",40.95%,0.3051,0.0000,-44.7023,63.2282,-6.83%,Call,06/26/26,"64,500","5,845s",43.22%,-0.6798,0.0000,-37.9889,64.2684,-4.56%,Put,06/26/26
"1,285s",40.86%,0.2937,0.0000,-44.0656,62.1512,-6.91%,Call,06/26/26,"64,750","6,020s",43.10%,-0.6909,0.0000,-37.1712,63.2860,-4.67%,Put,06/26/26
"1,320s",42.44%,0.2918,0.0000,-45.4835,61.9660,-5.34%,Call,06/26/26,"65,000","6,200s",43.02%,-0.7017,0.0000,-36.3737,62.2748,-4.75%,Put,06/26/26
"1,150s",40.63%,0.2712,0.0000,-42.6414,59.8231,-7.14%,Call,06/26/26,"65,250","6,385s",42.98%,-0.7120,0.0000,-35.6032,61.2438,-4.79%,Put,06/26/26
"1,110s",40.92%,0.2627,0.0000,-42.4019,58.8691,-6.85%,Call,06/26/26,"65,500","6,575s",42.99%,-0.7219,0.0000,-34.8673,60.2031,-4.78%,Put,06/26/26
"1,030s",40.49%,0.2500,0.0000,-41.2123,57.3753,-7.29%,Call,06/26/26,"65,750","6,765s",42.96%,-0.7318,0.0000,-34.0608,59.1084,-4.82%,Put,06/26/26
975s,40.43%,0.2399,0.0000,-40.4957,56.1178,-7.34%,Call,06/26/26,"66,000","6,955s",42.89%,-0.7417,0.0000,-33.1823,57.9565,-4.89%,Put,06/26/26
920s,40.34%,0.2298,0.0000,-39.7049,54.7960,-7.43%,Call,06/26/26,"66,250","7,155s",42.95%,-0.7507,0.0000,-32.4707,56.8742,-4.82%,Put,06/26/26
870s,40.30%,0.2202,0.0000,-38.9623,53.4899,-7.48%,Call,06/26/26,"66,500","7,350s",42.89%,-0.7601,0.0000,-31.5745,55.6784,-4.88%,Put,06/26/26
820s,40.21%,0.2106,0.0000,-38.1497,52.1231,-7.56%,Call,06/26/26,"66,750","7,555s",42.97%,-0.7685,0.0000,-30.8638,54.5769,-4.80%,Put,06/26/26
775s,40.18%,0.2015,0.0000,-37.3976,50.7897,-7.60%,Call,06/26/26,"67,000","7,755s",42.93%,-0.7774,0.0000,-29.9661,53.3564,-4.85%,Put,06/26/26
730s,39.66%,0.1938,0.0000,-36.4154,49.7034,-8.08%,Call,06/26/26,"67,250","7,960s",42.94%,-0.7857,0.0000,-29.1390,52.1703,-4.83%,Put,06/26/26
670s,39.67%,0.1813,0.0000,-35.2702,47.6011,-8.10%,Call,06/26/26,"67,500","8,170s",43.01%,-0.7935,0.0000,-28.3928,51.0328,-4.76%,Put,06/26/26
655s,40.15%,0.1764,0.0000,-35.1811,46.7993,-7.63%,Call,06/26/26,"67,750","8,380s",43.06%,-0.8012,0.0000,-27.5955,49.8604,-4.72%,Put,06/26/26
615s,40.06%,0.1680,0.0000,-34.3225,45.3669,-7.72%,Call,06/26/26,"68,000","8,595s",43.17%,-0.8082,0.0000,-26.8930,48.7541,-4.60%,Put,06/26/26
580s,40.03%,0.1604,0.0000,-33.5565,44.0133,-7.74%,Call,06/26/26,"68,250","8,810s",43.25%,-0.8152,0.0000,-26.1457,47.6197,-4.52%,Put,06/26/26
550s,40.09%,0.1535,0.0000,-32.8963,42.7586,-7.68%,Call,06/26/26,"68,500","9,025s",43.30%,-0.8222,0.0000,-25.3529,46.4552,-4.47%,Put,06/26/26
520s,40.11%,0.1466,0.0000,-32.1901,41.4700,-7.66%,Call,06/26/26,"68,750","9,245s",43.43%,-0.8285,0.0000,-24.6729,45.3790,-4.35%,Put,06/26/26
490s,40.10%,0.1397,0.0000,-31.4369,40.1442,-7.68%,Call,06/26/26,"69,000","9,465s",43.53%,-0.8347,0.0000,-23.9544,44.2803,-4.24%,Put,06/26/26
465s,40.17%,0.1336,0.0000,-30.8108,38.9475,-7.60%,Call,06/26/26,"69,250","9,685s",43.60%,-0.8410,0.0000,-23.1965,43.1572,-4.17%,Put,06/26/26
440s,40.22%,0.1276,0.0000,-30.1457,37.7237,-7.56%,Call,06/26/26,"69,500","9,910s",43.76%,-0.8464,0.0000,-22.5706,42.1460,-4.01%,Put,06/26/26
415s,40.23%,0.1216,0.0000,-29.4406,36.4700,-7.55%,Call,06/26/26,"69,750","10,135s",43.90%,-0.8519,0.0000,-21.9129,41.1186,-3.88%,Put,06/26/26
390s,40.20%,0.1155,0.0000,-28.6945,35.1833,-7.57%,Call,06/26/26,"70,000","10,360s",44.01%,-0.8573,0.0000,-21.2229,40.0737,-3.77%,Put,06/26/26
370s,40.28%,0.1104,0.0000,-28.1032,34.0646,-7.49%,Call,06/26/26,"70,250","10,590s",44.22%,-0.8619,0.0000,-20.6845,39.1644,-3.56%,Put,06/26/26
350s,40.34%,0.1053,0.0000,-27.4798,32.9248,-7.44%,Call,06/26/26,"70,500","10,820s",44.41%,-0.8665,0.0000,-20.1216,38.2459,-3.37%,Put,06/26/26
330s,40.36%,0.1002,0.0000,-26.8235,31.7613,-7.42%,Call,06/26/26,"70,750","11,050s",44.57%,-0.8710,0.0000,-19.5338,37.3172,-3.20%,Put,06/26/26
315s,40.51%,0.0961,0.0000,-26.3472,30.8015,-7.27%,Call,06/26/26,"71,000","11,280s",44.72%,-0.8755,0.0000,-18.9208,36.3774,-3.05%,Put,06/26/26
300s,40.63%,0.0920,0.0000,-25.8476,29.8306,-7.14%,Call,06/26/26,"71,250","11,515s",44.98%,-0.8791,0.0000,-18.4833,35.6002,-2.79%,Put,06/26/26
285s,40.73%,0.0880,0.0000,-25.3242,28.8469,-7.04%,Call,06/26/26,"71,500","11,750s",45.23%,-0.8827,0.0000,-18.0283,34.8199,-2.54%,Put,06/26/26
270s,40.81%,0.0839,0.0000,-24.7767,27.8488,-6.97%,Call,06/26/26,"71,750","11,985s",45.46%,-0.8863,0.0000,-17.5558,34.0358,-2.31%,Put,06/26/26
255s,40.85%,0.0799,0.0000,-24.2042,26.8344,-6.92%,Call,06/26/26,"72,000","12,220s",45.67%,-0.8899,0.0000,-17.0657,33.2474,-2.10%,Put,06/26/26
245s,41.06%,0.0769,0.0000,-23.8476,26.0721,-6.72%,Call,06/26/26,"72,250","12,455s",45.87%,-0.8934,0.0000,-16.5579,32.4539,-1.91%,Put,06/26/26
230s,41.05%,0.0729,0.0000,-23.2296,25.0294,-6.73%,Call,06/26/26,"72,500","12,695s",46.20%,-0.8960,0.0000,-16.2523,31.8511,-1.57%,Put,06/26/26
"Downloaded from Barchart.com as of 06-28-2026 10:16am CDT"
