Symbol,Name,Latest,Change,%Change,High,Low,Volume,"Imp Vol","1M IV","3M IV",IV/HV,"5D/1M IV%","IV Rank","1M IV Rank ","IV Pctl","1M IV Pctl","Options Vol","5D Total Vol","Total OI","Call Open Int","Put Open Int","P/C OI","Exp Move"
GCQ26,Gold,4039.8,-56.5,-1.38%,4102.9,4012,77329,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCU26,Gold,4056.5,-54.4,-1.32%,4108.3,4034.7,623,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCV26,Gold,4065.8,-59.5,-1.44%,4119.7,4041.6,981,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCX26,Gold,4122.8,-18.8,-0.45%,4122.8,4122.2,7,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCZ26,Gold,4100.8,-56.1,-1.35%,4160.1,4072,3222,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCF27,Gold,4093.2,-81.5,-1.95%,4149.8,4093.2,6,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTN26,"Bitcoin Futures",59685,-310.,-0.52%,61125,58945,7216,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTQ26,"Bitcoin Futures",59505,-735.,-1.22%,61310,59340,315,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTU26,"Bitcoin Futures",60320,-125.,-0.21%,60590,59945,7,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTV26,"Bitcoin Futures",61640,965,+1.59%,61640,61640,2,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTX26,"Bitcoin Futures",60975,570,+0.94%,61580,59505,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTZ26,"Bitcoin Futures",61325,570,+0.94%,61620,59895,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTH27,"Bitcoin Futures",62195,555,+0.90%,62195,61005,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAN26,"Ether Micro",1575,-4.,-0.25%,1621.5,1550,24496,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAQ26,"Ether Micro",1570,-14.,-0.88%,1615,1560,673,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAU26,"Ether Micro",1603,15,+0.94%,1603,1555.5,3,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAV26,"Ether Micro",1596,16.5,+1.04%,1596,1596,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAX26,"Ether Micro",1604,16.5,+1.04%,1604,1604,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAZ26,"Ether Micro",1615,3,+0.19%,1615,1615,4,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAH27,"Ether Micro",1646.5,20,+1.23%,1646.5,1646.5,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
HGN26,"High Grade Copper",6.0985,-0.0455,-0.74%,6.175,6.0745,3040,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
HGQ26,"High Grade Copper",6.131,-0.045,-0.73%,6.1995,6.1075,1227,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
HGY00,"High Grade Copper",6.127,0.089,+1.47%,6.127,6.127,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CLQ26,"Crude Oil WTI",70.35,1.12,+1.62%,70.97,69.32,88389,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CLG27,"Crude Oil WTI",68.14,0.93000000000001,+1.38%,68.28,67.35,5450,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CLV26,"Crude Oil WTI",69.69,1.09,+1.59%,70.02,68.67,24217,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CLU26,"Crude Oil WTI",70.05,1.12,+1.62%,70.5,69,44991,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CLZ26,"Crude Oil WTI",68.9,1,+1.47%,69.08,67.94,27339,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CLX26,"Crude Oil WTI",69.32,1.06,+1.55%,69.49,68.3,14913,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CLF27,"Crude Oil WTI",68.51,0.96000000000001,+1.42%,68.63,67.65,8220,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
NGQ26,"Natural Gas",3.174,-0.105,-3.20%,3.313,3.173,94361,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
LUN26,"ICE Rotterdam Coal",116.3,2.95,+2.60%,118.55,116,325,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
FLM26,"Ethanol Chicago",1.875,0.005,+0.27%,1.875,1.875,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
LVN26,"ICE Richard Bay Coal",103.2,-0.05,-0.05%,103.2,103.2,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
QRU26,"Russell 2000 E-Mini",3011.8,-10.8,-0.36%,3044.9,2987.8,90532,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
S!N26,"CFFEX CSI 300 Index",4855.4,30.2,+0.63%,4872.6,4792.2,38055,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
SQJ26,"3-Month SOFR",96.3675,0.0025,0.00%,96.3675,96.365,10,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
U7M26,"SGX Aus Coking Coal",243.17,-0.08,-0.03%,243.17,243.17,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
VIN26,"S&P 500 VIX",18.7,-0.3598,-1.89%,19.35,18.38,35719,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
YCN26,"CZCE Thermal Coal100",801.4,0,0.00%,801.4,801.4,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
YQN26,"DCE Coking Coal",1220,21,+1.75%,1240,1207.5,1216,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZMN26,"Soybean Meal",304.4,-2.6,-0.85%,307.4,303.5,10285,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZLN26,"Soybean Oil",70.4,-0.9,-1.26%,71.71,70.39,13400,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZBU26,"30-Year T-Bond",114.21875,0.0625,+0.05%,114.28125,113.9375,142190,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZFM26,"5-Year T-Note",107.40625,0,0.00%,107.40625,107.3984375,27,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZNU26,"10-Year T-Note",110.21875,-0.046875,-0.04%,110.296875,110.109375,692017,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZQM26,"30-Day Fed Funds",96.375,0.0024999999999977,0.00%,96.375,96.3725,2412,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
OYU26,"High Yield Corp Bond",183.47,0.63499999999999,+0.35%,183.51,183.35,44,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
OYZ26,"High Yield Corp Bond",184.84,0.090000000000003,+0.05%,184.93,184.84,4,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
OYH27,"High Yield Corp Bond",184.75,-0.205,-0.11%,184.75,184.75,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
OGU26,"Ivnt Grade Corp Bond",148.87,0.14500000000001,+0.10%,149,148.81,23,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
OGZ26,"Ivnt Grade Corp Bond",150.29,0.17499999999998,+0.12%,150.29,150.26,11,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
OGH27,"Ivnt Grade Corp Bond",150.115,-0.07,-0.05%,150.115,150.115,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
_S_IV_ZBU6_UDU6,"30-Year T-Bond Futures Implied-Intercommodity Spread",0.125,0,N/A,0.125,-0.125,1261,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
_S_RT_ZBU6_ZBZ6,"30-Year T-Bond Futures Reduced Tick Spread",0.375,0.03125,+9.09%,0.375,0.375,1,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
_S_BF_ZBU6_ZBZ6_ZBH7,"30-Year T-Bond Futures Butterfly Spread",-0.0625,-0.03125,-100.00%,-0.0625,-0.0625,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
_S_RT_ZBU6_ZBH7,"30-Year T-Bond Futures Reduced Tick Spread",0.75,-0.03125,-4.00%,0.75,0.75,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
_S_RT_ZBZ6_ZBH7,"30-Year T-Bond Futures Reduced Tick Spread",0.40625,0,0.00%,0.40625,0.40625,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
"Downloaded from Barchart.com as of 06-29-2026 09:48am CDT"
