"Date","CN10Y Return","USDCNH Return","CN2Y Return","CHINAINTRAT Return","KHYB Return"
08-29-2025,0.0884,-0.0070,0.0419,-0.0491,0.0307
09-01-2025,0.0927,-0.0051,0.0375,-0.0497,
09-02-2025,0.0896,-0.0047,0.0375,-0.0497,0.0307
09-03-2025,0.0823,-0.0045,0.0301,-0.0491,0.0319
09-04-2025,0.0787,-0.0049,0.0287,-0.0491,0.0339
09-05-2025,0.0768,-0.0065,0.0390,-0.0491,0.0350
09-08-2025,0.0902,-0.0068,0.0426,-0.0491,0.0358
09-09-2025,0.0976,-0.0067,0.0441,-0.0485,0.0375
09-10-2025,0.1055,-0.0072,0.0551,-0.0472,0.0383
09-11-2025,0.1043,-0.0082,0.0404,-0.0472,0.0390
09-12-2025,0.1079,-0.0065,0.0493,-0.0472,0.0402
09-15-2025,0.1518,-0.0074,0.0544,-0.0472,0.0417
09-16-2025,0.1457,-0.0094,0.0456,-0.0472,0.0426
09-17-2025,0.1402,-0.0097,0.0382,-0.0466,0.0435
09-18-2025,0.1378,-0.0088,0.0368,-0.0454,0.0447
09-19-2025,0.1415,-0.0072,0.0419,-0.0417,0.0473
09-22-2025,0.1470,-0.0078,0.0551,-0.0417,0.0445
09-23-2025,0.1500,-0.0081,0.0559,-0.0417,0.0438
09-24-2025,0.1604,-0.0047,0.0596,-0.0393,0.0434
09-25-2025,0.1604,-0.0037,0.0669,-0.0344,0.0440
09-26-2025,0.1671,-0.0042,0.0640,-0.0331,0.0447
09-29-2025,0.1555,-0.0059,0.0581,-0.0307,0.0445
09-30-2025,0.1451,-0.0060,0.0574,-0.0307,0.0457
10-01-2025,,-0.0061,,,0.0480
10-02-2025,,-0.0054,,,0.0482
10-03-2025,,-0.0050,,,0.0499
10-06-2025,,-0.0042,,,0.0493
10-07-2025,,-0.0036,,,0.0497
10-08-2025,,-0.0030,,,0.0497
10-09-2025,0.1738,-0.0048,0.0757,-0.0313,0.0486
10-10-2025,0.1348,-0.0035,0.0478,-0.0319,0.0435
10-13-2025,0.0799,-0.0047,0.1301,-0.0307,0.0446
10-14-2025,0.0787,-0.0045,0.1096,-0.0301,0.0435
10-15-2025,0.0817,-0.0058,0.1154,-0.0301,0.0461
10-16-2025,0.0787,-0.0066,0.1118,-0.0301,0.0476
10-17-2025,0.0750,-0.0062,0.1132,-0.0307,0.0491
10-20-2025,0.0829,-0.0067,0.1228,-0.0294,0.0493
10-21-2025,0.0774,-0.0063,0.1176,-0.0270,0.0508
10-22-2025,0.0848,-0.0064,0.1169,-0.0233,0.0491
10-23-2025,0.0860,-0.0066,0.1154,-0.0221,0.0495
10-24-2025,0.0854,-0.0064,0.1022,-0.0221,0.0509
10-27-2025,0.0860,-0.0087,0.1037,-0.0215,0.0540
10-28-2025,0.0811,-0.0106,0.0882,-0.0190,0.0535
10-29-2025,0.0768,-0.0105,0.0596,-0.0190,0.0523
10-30-2025,0.0744,-0.0086,0.0390,-0.0202,0.0502
10-31-2025,0.0756,-0.0069,0.0478,-0.0209,0.0520
11-03-2025,0.0713,-0.0064,0.0485,-0.0215,0.0509
11-04-2025,0.0652,-0.0052,0.0559,-0.0221,0.0496
11-05-2025,0.0640,-0.0058,0.0610,-0.0252,0.0482
11-06-2025,0.0707,-0.0069,0.0588,-0.0261,0.0476
11-07-2025,0.0720,-0.0066,0.0588,-0.0282,0.0490
11-10-2025,0.1061,-0.0070,0.0662,-0.0307,0.0520
11-11-2025,0.1128,-0.0069,0.0684,-0.0307,0.0528
11-12-2025,0.1073,-0.0083,0.0669,-0.0307,0.0524
11-13-2025,0.1061,-0.0103,0.0654,-0.0307,0.0502
11-14-2025,0.1018,-0.0099,0.0529,-0.0307,0.0520
11-17-2025,0.1067,-0.0088,0.0618,-0.0307,0.0485
11-18-2025,0.1061,-0.0086,0.0610,-0.0307,0.0506
11-19-2025,0.1073,-0.0075,0.0588,-0.0307,0.0511
11-20-2025,0.1116,-0.0076,0.0596,-0.0313,0.0494
11-21-2025,0.1104,-0.0092,0.0603,-0.0319,0.0523
11-24-2025,0.1134,-0.0094,0.0625,-0.0307,0.0523
11-25-2025,0.1110,-0.0122,0.0515,-0.0307,0.0524
11-26-2025,0.1177,-0.0142,0.0603,-0.0313,0.0512
11-27-2025,0.1274,-0.0136,0.0625,-0.0307,
11-28-2025,0.1171,-0.0143,0.0463,-0.0307,0.0504
12-01-2025,0.1220,-0.0138,0.0522,-0.0307,0.0498
12-02-2025,0.1244,-0.0146,0.0537,-0.0307,0.0503
12-03-2025,0.1232,-0.0157,0.0507,-0.0307,0.0511
12-04-2025,0.1354,-0.0140,0.0559,-0.0307,0.0516
12-05-2025,0.1329,-0.0141,0.0456,-0.0307,0.0527
12-08-2025,0.1433,-0.0141,0.0000,-0.0307,0.0516
12-09-2025,0.1409,-0.0153,-0.0007,-0.0301,0.0529
12-10-2025,0.1323,-0.0157,-0.0029,-0.0294,0.0565
12-11-2025,0.1293,-0.0169,-0.0015,-0.0282,0.0580
12-12-2025,0.1274,-0.0164,-0.0029,-0.0276,0.0570
12-15-2025,0.0945,-0.0178,-0.0037,-0.0239,0.0568
12-16-2025,0.0945,-0.0193,-0.0029,-0.0215,0.0577
12-17-2025,0.1250,-0.0183,-0.0037,-0.0178,0.0583
12-18-2025,0.0963,-0.0193,0.0059,-0.0166,0.0606
12-19-2025,0.1110,-0.0192,-0.0096,-0.0171,0.0611
12-22-2025,0.1305,-0.0196,-0.0125,-0.0178,0.0620
12-23-2025,0.1372,-0.0212,-0.0110,-0.0184,0.0616
12-24-2025,0.1305,-0.0227,-0.0147,-0.0184,0.0620
12-25-2025,0.1232,-0.0228,-0.0199,-0.0184,
12-26-2025,0.1152,-0.0234,-0.0110,-0.0184,0.0618
12-29-2025,0.1384,-0.0242,-0.0132,-0.0184,0.0611
12-30-2025,0.1415,-0.0251,-0.0221,-0.0184,0.0614
12-31-2025,0.1354,-0.0269,-0.0125,-0.0184,0.0618
01-01-2026,,-0.0269,,,
01-02-2026,,-0.0280,,,0.0629
01-04-2026,,,,-0.0196,
01-05-2026,0.1409,-0.0261,0.0206,-0.0209,0.0648
01-06-2026,0.1524,-0.0265,-0.0066,-0.0209,0.0668
01-07-2026,0.1409,-0.0251,0.0081,-0.0405,0.0679
01-08-2026,0.1543,-0.0263,0.0206,-0.0215,0.0691
01-09-2026,0.1445,-0.0272,0.0301,-0.0215,0.0702
01-12-2026,0.1348,-0.0288,0.0654,-0.0196,0.0694
01-13-2026,0.1311,-0.0275,0.0647,-0.0184,0.0700
01-14-2026,0.1287,-0.0280,0.0588,-0.0184,0.0705
01-15-2026,0.1348,-0.0290,0.0478,-0.0184,0.0722
01-16-2026,0.1250,-0.0285,0.0390,-0.0184,0.0735
01-19-2026,0.1213,-0.0299,0.0390,-0.0184,
01-20-2026,0.0982,-0.0300,0.0294,-0.0184,0.0718
01-21-2026,0.1189,-0.0295,0.0331,-0.0184,0.0757
01-22-2026,0.1207,-0.0289,0.0324,-0.0196,0.0742
01-23-2026,0.1171,-0.0307,0.0279,-0.0196,0.0750
01-26-2026,0.1134,-0.0309,0.0324,-0.0198,0.0759
01-27-2026,0.0976,-0.0335,0.0426,-0.0204,0.0759
01-28-2026,0.1085,-0.0319,0.0404,-0.0217,0.0763
01-29-2026,0.1085,-0.0312,0.0257,-0.0239,0.0782
01-30-2026,0.0994,-0.0295,0.0169,-0.0252,0.0803
02-02-2026,0.1030,-0.0322,0.0221,-0.0252,0.0788
02-03-2026,0.1073,-0.0330,0.0184,-0.0271,0.0774
02-04-2026,0.1073,-0.0320,0.0176,-0.0279,0.0788
02-05-2026,0.1067,-0.0324,0.0096,-0.0304,0.0771
02-06-2026,0.1018,-0.0337,0.0074,-0.0307,0.0809
02-09-2026,0.1037,-0.0358,0.0074,-0.0307,0.0792
02-10-2026,0.1018,-0.0361,0.0029,-0.0307,0.0799
02-11-2026,0.0988,-0.0367,0.0096,-0.0307,0.0809
02-12-2026,0.0884,-0.0382,0.0037,-0.0307,0.0792
02-13-2026,0.1049,-0.0376,0.0331,-0.0313,0.0818
02-14-2026,,,,-0.0307,
02-16-2026,,-0.0400,,,
02-17-2026,,-0.0399,,,0.0818
02-18-2026,,-0.0390,,,0.0825
02-19-2026,,-0.0381,,,0.0823
02-20-2026,,-0.0381,,,0.0840
02-23-2026,,-0.0395,,,0.0831
02-24-2026,0.0970,-0.0408,0.0037,-0.0319,0.0853
02-25-2026,0.1067,-0.0444,0.0169,-0.0320,0.0860
02-26-2026,0.1122,-0.0460,0.0110,-0.0339,0.0851
02-27-2026,0.1152,-0.0434,0.0390,-0.0374,0.0843
03-02-2026,0.0982,-0.0376,0.0037,-0.0382,0.0826
03-03-2026,0.0549,-0.0355,-0.0015,-0.0399,0.0790
03-04-2026,0.0970,-0.0389,-0.0110,-0.0426,0.0772
03-05-2026,0.0945,-0.0353,-0.0037,-0.0442,0.0759
03-06-2026,0.0957,-0.0371,-0.0074,-0.0461,0.0737
03-09-2026,0.1463,-0.0391,0.0147,-0.0482,0.0708
03-10-2026,0.1037,-0.0406,-0.0301,-0.0496,0.0741
03-11-2026,0.1244,-0.0411,-0.0368,-0.0509,0.0735
03-12-2026,0.1067,-0.0403,-0.0368,-0.0515,0.0684
03-13-2026,0.1244,-0.0368,-0.0184,-0.0540,0.0654
03-16-2026,0.1189,-0.0393,-0.0294,-0.0564,0.0663
03-17-2026,0.1189,-0.0402,-0.0382,-0.0578,0.0682
03-18-2026,0.1104,-0.0377,-0.0478,-0.0601,0.0569
03-19-2026,0.1152,-0.0404,-0.0515,-0.0626,0.0540
03-20-2026,0.1171,-0.0369,-0.0382,-0.0663,0.0473
03-23-2026,0.1189,-0.0399,-0.0426,-0.0686,0.0460
03-24-2026,0.1183,-0.0389,-0.0331,-0.0699,0.0438
03-25-2026,0.1128,-0.0373,-0.0478,-0.0702,0.0549
03-26-2026,0.1116,-0.0350,-0.0625,-0.0715,0.0489
03-27-2026,0.1098,-0.0351,-0.0324,-0.0742,0.0467
03-30-2026,0.1037,-0.0356,-0.0699,-0.0742,0.0429
03-31-2026,0.1085,-0.0396,-0.0676,-0.0755,0.0530
04-01-2026,0.1122,-0.0409,-0.0735,-0.0773,0.0575
04-02-2026,0.1110,-0.0394,-0.0699,-0.0801,0.0588
04-03-2026,0.1091,-0.0398,-0.0735,-0.0840,
04-06-2026,,-0.0413,,,0.0559
04-07-2026,0.1073,-0.0440,-0.0221,-0.0896,0.0562
04-08-2026,0.1049,-0.0472,-0.0272,-0.0923,0.0659
04-09-2026,0.1085,-0.0479,-0.0221,-0.0945,0.0697
04-10-2026,0.1067,-0.0483,-0.0221,-0.0972,0.0721
04-13-2026,0.0957,-0.0492,-0.0257,-0.1006,0.0739
04-14-2026,0.0884,-0.0503,-0.0272,-0.1021,0.0765
04-15-2026,0.0854,-0.0492,-0.0382,-0.1034,0.0763
04-16-2026,0.0854,-0.0487,-0.0382,-0.1074,0.0743
04-17-2026,0.0762,-0.0495,-0.0515,-0.1089,0.0807
04-20-2026,0.0738,-0.0497,-0.0478,-0.1110,0.0788
04-21-2026,0.0683,-0.0479,-0.0640,-0.1153,0.0759
04-22-2026,0.0591,-0.0474,-0.0713,-0.1181,0.0774
04-23-2026,0.0646,-0.0468,-0.0809,-0.1199,0.0749
04-24-2026,0.0738,-0.0470,-0.0846,-0.1242,0.0761
04-27-2026,0.0774,-0.0481,-0.0772,-0.1233,0.0761
04-28-2026,0.0750,-0.0463,-0.0529,-0.1264,0.0748
04-29-2026,0.0652,-0.0452,-0.0662,-0.1291,0.0731
04-30-2026,0.0689,-0.0474,-0.0551,-0.1313,0.0763
05-01-2026,,-0.0476,,,0.0772
05-04-2026,,-0.0475,,,0.0731
05-05-2026,,-0.0480,,,0.0761
05-06-2026,0.0738,-0.0499,-0.0581,-0.1288,0.0812
05-07-2026,0.0732,-0.0507,-0.0478,-0.1307,0.0801
05-08-2026,0.0774,-0.0523,-0.0309,-0.1307,0.0825
05-09-2026,,,,-0.1325,
05-11-2026,0.1122,-0.0529,-0.0603,-0.1325,0.0825
05-12-2026,0.1030,-0.0531,-0.0610,-0.1337,0.0816
05-13-2026,0.1372,-0.0536,-0.0169,-0.1356,0.0816
05-14-2026,0.0683,-0.0536,-0.0625,-0.1374,0.0812
05-15-2026,0.0762,-0.0498,-0.0515,-0.1362,0.0778
05-18-2026,0.1207,-0.0520,-0.0699,-0.1380,0.0754
05-19-2026,0.0640,-0.0494,-0.0750,-0.1387,0.0745
05-20-2026,0.0628,-0.0516,-0.0772,-0.1383,0.0771
05-21-2026,0.1006,-0.0518,-0.0331,-0.1371,0.0781
05-22-2026,0.0677,-0.0523,-0.0551,-0.1380,0.0799
05-25-2026,0.1159,-0.0540,-0.0221,-0.1371,
05-26-2026,0.0646,-0.0539,-0.0853,-0.1371,0.0843
05-27-2026,0.0561,-0.0548,-0.0934,-0.1383,0.0864
05-28-2026,0.0524,-0.0556,-0.1044,-0.1377,0.0858
05-29-2026,0.0549,-0.0568,-0.0551,-0.1365,0.0872
06-01-2026,0.0421,-0.0567,-0.1029,-0.1371,0.0876
06-02-2026,0.0439,-0.0570,-0.0772,-0.1390,0.0888
06-03-2026,0.0695,-0.0547,-0.0772,-0.1390,0.0883
06-04-2026,0.0470,-0.0551,-0.0956,-0.1402,0.0885
06-05-2026,0.0726,-0.0530,-0.0691,-0.1399,0.0845
06-08-2026,0.0543,-0.0542,-0.0338,-0.1399,0.0836
06-09-2026,0.0610,-0.0554,-0.0566,-0.1399,0.0858
06-10-2026,0.0665,,-0.0662,-0.1399,0.0852
06-11-2026,0.0860,-0.0570,-0.0603,-0.1362,0.0876
06-12-2026,0.0634,-0.0566,-0.0551,-0.1325,0.0876
06-15-2026,0.0646,-0.0575,-0.0478,-0.1273,0.0928
06-16-2026,0.0567,-0.0578,-0.0647,-0.1239,0.0915
06-17-2026,0.0689,-0.0552,-0.0206,-0.1233,0.0915
06-18-2026,0.0683,-0.0548,-0.0331,-0.1227,0.0917
06-19-2026,,-0.0541,,,
06-22-2026,0.0567,-0.0550,-0.0846,-0.1227,0.0903
06-23-2026,0.0939,-0.0526,-0.0647,-0.1221,0.0887
06-24-2026,0.0799,-0.0500,-0.0801,-0.1190,0.0888
06-25-2026,0.0573,-0.0516,-0.0897,-0.1169,0.0893
06-26-2026,0.0933,-0.0513,-0.0500,-0.1166,0.0894
06-29-2026,0.0482,-0.0517,-0.0971,-0.1166,0.0824
